Method,LeadTimeMin,Aggregation,Metric,Threshold,Pool,Value
Baseline,25,global_count,CSI,133,1,0.340334
Baseline,30,global_count,CSI,133,1,0.291296
Baseline,35,global_count,CSI,133,1,0.263231
Baseline,40,global_count,CSI,133,1,0.193758
Baseline,45,global_count,CSI,133,1,0.115904
Baseline,50,global_count,CSI,133,1,0.095639
Baseline,55,global_count,CSI,133,1,0.092865
Baseline,60,global_count,CSI,133,1,0.088521
Baseline,5,batch_avg,CSI,133,4,0.434502
Baseline,10,batch_avg,CSI,133,4,0.314158
Baseline,15,batch_avg,CSI,133,4,0.243035
Baseline,20,batch_avg,CSI,133,4,0.193057
Baseline,25,batch_avg,CSI,133,4,0.154268
Baseline,30,batch_avg,CSI,133,4,0.118548
Baseline,35,batch_avg,CSI,133,4,0.091516
Baseline,40,batch_avg,CSI,133,4,0.067823
Baseline,45,batch_avg,CSI,133,4,0.046977
Baseline,50,batch_avg,CSI,133,4,0.032760
Baseline,55,batch_avg,CSI,133,4,0.022654
Baseline,60,batch_avg,CSI,133,4,0.017648
Baseline,5,global_count,CSI,133,4,0.556985
Baseline,10,global_count,CSI,133,4,0.465234
Baseline,15,global_count,CSI,133,4,0.392576
Baseline,20,global_count,CSI,133,4,0.340020
Baseline,25,global_count,CSI,133,4,0.299835
Baseline,30,global_count,CSI,133,4,0.253694
Baseline,35,global_count,CSI,133,4,0.221772
Baseline,40,global_count,CSI,133,4,0.166659
Baseline,45,global_count,CSI,133,4,0.103800
Baseline,50,global_count,CSI,133,4,0.081148
Baseline,55,global_count,CSI,133,4,0.070738
Baseline,60,global_count,CSI,133,4,0.063392
Baseline,5,batch_avg,CSI,133,16,0.491333
Baseline,10,batch_avg,CSI,133,16,0.348988
Baseline,15,batch_avg,CSI,133,16,0.269048
Baseline,20,batch_avg,CSI,133,16,0.219862
Baseline,25,batch_avg,CSI,133,16,0.181428
Baseline,30,batch_avg,CSI,133,16,0.144221
Baseline,35,batch_avg,CSI,133,16,0.116221
Baseline,40,batch_avg,CSI,133,16,0.090270
Baseline,45,batch_avg,CSI,133,16,0.063861
Baseline,50,batch_avg,CSI,133,16,0.044234
Baseline,55,batch_avg,CSI,133,16,0.028239
Baseline,60,batch_avg,CSI,133,16,0.019577
Baseline,5,global_count,CSI,133,16,0.572421
Baseline,10,global_count,CSI,133,16,0.443410
Baseline,15,global_count,CSI,133,16,0.362242
Baseline,20,global_count,CSI,133,16,0.310271
Baseline,25,global_count,CSI,133,16,0.269390
Baseline,30,global_count,CSI,133,16,0.224560
Baseline,35,global_count,CSI,133,16,0.190012
Baseline,40,global_count,CSI,133,16,0.148771
Baseline,45,global_count,CSI,133,16,0.101213
Baseline,50,global_count,CSI,133,16,0.073782
Baseline,55,global_count,CSI,133,16,0.053429
Baseline,60,global_count,CSI,133,16,0.041324
Baseline,5,batch_avg,CSI,160,1,0.271284
Baseline,10,batch_avg,CSI,160,1,0.177685
Baseline,15,batch_avg,CSI,160,1,0.123298
Baseline,20,batch_avg,CSI,160,1,0.085155
Baseline,25,batch_avg,CSI,160,1,0.057332
Baseline,30,batch_avg,CSI,160,1,0.035129
Baseline,35,batch_avg,CSI,160,1,0.025754
Baseline,40,batch_avg,CSI,160,1,0.020009
Baseline,45,batch_avg,CSI,160,1,0.018462
Baseline,50,batch_avg,CSI,160,1,0.017347
Baseline,55,batch_avg,CSI,160,1,0.017311
Baseline,60,batch_avg,CSI,160,1,0.017187
Baseline,5,global_count,CSI,160,1,0.632682
Baseline,10,global_count,CSI,160,1,0.601197
Baseline,15,global_count,CSI,160,1,0.534357
Baseline,20,global_count,CSI,160,1,0.478028
Baseline,25,global_count,CSI,160,1,0.447719
Baseline,30,global_count,CSI,160,1,0.352876
Baseline,35,global_count,CSI,160,1,0.317800
Baseline,40,global_count,CSI,160,1,0.231303
Baseline,45,global_count,CSI,160,1,0.170632
Baseline,50,global_count,CSI,160,1,0.174582
Baseline,55,global_count,CSI,160,1,0.209455
Baseline,60,global_count,CSI,160,1,0.208166
Baseline,5,batch_avg,CSI,160,4,0.279297
Baseline,10,batch_avg,CSI,160,4,0.177980
Baseline,15,batch_avg,CSI,160,4,0.123436
Baseline,20,batch_avg,CSI,160,4,0.087409
Baseline,25,batch_avg,CSI,160,4,0.060269
Baseline,30,batch_avg,CSI,160,4,0.036947
Baseline,35,batch_avg,CSI,160,4,0.026137
Baseline,40,batch_avg,CSI,160,4,0.019188
Baseline,45,batch_avg,CSI,160,4,0.017158
Baseline,50,batch_avg,CSI,160,4,0.016107
Baseline,55,batch_avg,CSI,160,4,0.016082
Baseline,60,batch_avg,CSI,160,4,0.016023
Baseline,5,global_count,CSI,160,4,0.549159
Baseline,10,global_count,CSI,160,4,0.483116
Baseline,15,global_count,CSI,160,4,0.415506
Baseline,20,global_count,CSI,160,4,0.365188
Baseline,25,global_count,CSI,160,4,0.330732
Baseline,30,global_count,CSI,160,4,0.257227
Baseline,35,global_count,CSI,160,4,0.224492
Baseline,40,global_count,CSI,160,4,0.161641
Baseline,45,global_count,CSI,160,4,0.119529
Baseline,50,global_count,CSI,160,4,0.118284
Baseline,55,global_count,CSI,160,4,0.133381
Baseline,60,global_count,CSI,160,4,0.132963
Baseline,5,batch_avg,CSI,160,16,0.321519
Baseline,10,batch_avg,CSI,160,16,0.197402
Baseline,15,batch_avg,CSI,160,16,0.134923
Baseline,20,batch_avg,CSI,160,16,0.097086
Baseline,25,batch_avg,CSI,160,16,0.067570
Baseline,30,batch_avg,CSI,160,16,0.040413
Baseline,35,batch_avg,CSI,160,16,0.026375
Baseline,40,batch_avg,CSI,160,16,0.016922
Baseline,45,batch_avg,CSI,160,16,0.013384
Baseline,50,batch_avg,CSI,160,16,0.012261
Baseline,55,batch_avg,CSI,160,16,0.012124
Baseline,60,batch_avg,CSI,160,16,0.012120
Baseline,5,global_count,CSI,160,16,0.477372
Baseline,10,global_count,CSI,160,16,0.359093
Baseline,15,global_count,CSI,160,16,0.282281
Baseline,20,global_count,CSI,160,16,0.232686
Baseline,25,global_count,CSI,160,16,0.190774
Baseline,30,global_count,CSI,160,16,0.138153
Baseline,35,global_count,CSI,160,16,0.109399
Baseline,40,global_count,CSI,160,16,0.074406
Baseline,45,global_count,CSI,160,16,0.052127
Baseline,50,global_count,CSI,160,16,0.048592
Baseline,55,global_count,CSI,160,16,0.050606
Baseline,60,global_count,CSI,160,16,0.050638
Baseline,5,batch_avg,CSI,181,1,0.172708
Baseline,10,batch_avg,CSI,181,1,0.110978
Baseline,15,batch_avg,CSI,181,1,0.071093
Baseline,20,batch_avg,CSI,181,1,0.044244
Baseline,25,batch_avg,CSI,181,1,0.031291
Baseline,30,batch_avg,CSI,181,1,0.023217
Baseline,35,batch_avg,CSI,181,1,0.020446
Baseline,40,batch_avg,CSI,181,1,0.019437
Baseline,45,batch_avg,CSI,181,1,0.018945
Baseline,50,batch_avg,CSI,181,1,0.017464
Baseline,55,batch_avg,CSI,181,1,0.016719
Baseline,60,batch_avg,CSI,181,1,0.015491
Baseline,5,global_count,CSI,181,1,0.688718
Baseline,10,global_count,CSI,181,1,0.702158
Baseline,15,global_count,CSI,181,1,0.644061
Baseline,20,global_count,CSI,181,1,0.508553
Baseline,25,global_count,CSI,181,1,0.476414
Baseline,30,global_count,CSI,181,1,0.418048
Baseline,35,global_count,CSI,181,1,0.308653
Baseline,40,global_count,CSI,181,1,0.288308
Baseline,45,global_count,CSI,181,1,0.249181
Baseline,50,global_count,CSI,181,1,0.241798
Baseline,55,global_count,CSI,181,1,0.302240
Baseline,60,global_count,CSI,181,1,0.282215
Baseline,5,batch_avg,CSI,181,4,0.180841
Baseline,10,batch_avg,CSI,181,4,0.114233
Baseline,15,batch_avg,CSI,181,4,0.072811
Baseline,20,batch_avg,CSI,181,4,0.045608
Baseline,25,batch_avg,CSI,181,4,0.031589
Baseline,30,batch_avg,CSI,181,4,0.022581
Baseline,35,batch_avg,CSI,181,4,0.019521
Baseline,40,batch_avg,CSI,181,4,0.018455
Baseline,45,batch_avg,CSI,181,4,0.017840
Baseline,50,batch_avg,CSI,181,4,0.016781
Baseline,55,batch_avg,CSI,181,4,0.016016
Baseline,60,batch_avg,CSI,181,4,0.015087
Baseline,5,global_count,CSI,181,4,0.594723
Baseline,10,global_count,CSI,181,4,0.567334
Baseline,15,global_count,CSI,181,4,0.503356
Baseline,20,global_count,CSI,181,4,0.396189
Baseline,25,global_count,CSI,181,4,0.362631
Baseline,30,global_count,CSI,181,4,0.315501
Baseline,35,global_count,CSI,181,4,0.236932
Baseline,40,global_count,CSI,181,4,0.213167
Baseline,45,global_count,CSI,181,4,0.184485
Baseline,50,global_count,CSI,181,4,0.179592
Baseline,55,global_count,CSI,181,4,0.206481
Baseline,60,global_count,CSI,181,4,0.195594
Baseline,5,batch_avg,CSI,181,16,0.209890
Baseline,10,batch_avg,CSI,181,16,0.127159
Baseline,15,batch_avg,CSI,181,16,0.078304
Baseline,20,batch_avg,CSI,181,16,0.049313
Baseline,25,batch_avg,CSI,181,16,0.031159
Baseline,30,batch_avg,CSI,181,16,0.019632
Baseline,35,batch_avg,CSI,181,16,0.015889
Baseline,40,batch_avg,CSI,181,16,0.014528
Baseline,45,batch_avg,CSI,181,16,0.014600
Baseline,50,batch_avg,CSI,181,16,0.013798
Baseline,55,batch_avg,CSI,181,16,0.013785
Baseline,60,batch_avg,CSI,181,16,0.012533
Baseline,5,global_count,CSI,181,16,0.457665
