[2026-05-11 19:14:11] INFO: Device: cuda
[2026-05-11 19:14:11] INFO: Config: {'dataset': {'name': 'sevir', 'data_root': 'F:\\zyx\\dataset\\sevir_data', 'img_type': 'vil', 'resolution': 384, 'in_len': 13, 'out_len_short': 6, 'out_len_long': 12, 'interval': 5, 'intensity_threshold': 219, 'normalize': False}, 'dataloader': {'batch_size': 2, 'num_workers': 2, 'pin_memory': False}, 'grad_accum_steps': 4, 'model': {'in_shape': [13, 1, 384, 384], 'hid_S': 64, 'hid_T': 256, 'N_S': 2, 'N_T': 4, 'translator': 'inception_unet'}, 'loss': {'wmax': 10, 'tau': 219}, 'optimizer': {'type': 'adam', 'lr': 0.0005, 'weight_decay': 0.0}, 'scheduler': {'type': 'cosine', 'min_lr': 5e-05, 'warmup_epochs': 5}, 'training': {'max_epochs': 100, 'val_interval': 5, 'save_top_k': 3, 'early_stop_patience': 20, 'grad_clip': 1.0, 'seed': 42}, 'checkpoints': {'dir': 'checkpoints/sevir', 'stage1_name': 'stage1_best.pth', 'stage2_name': 'stage2_best.pth'}, 'logging': {'log_dir': 'logs/sevir', 'log_interval': 50}, 'evaluation': {'csi_thresholds': [16, 74, 133, 160, 181, 219], 'pool_sizes': [1, 4, 16], 'n_ensemble': 1}}
[2026-05-11 19:14:11] INFO: Building dataloaders...
[2026-05-11 19:14:11] INFO: Train batches: 18273 | Val batches: 3107
[2026-05-11 19:14:12] INFO: Model parameters: 294,226,369
[2026-05-11 19:14:13] INFO: Starting Stage 1 training for 100 epochs...
[2026-05-11 19:44:21] INFO: Epoch 1 | Batch 3700/18273 | Loss(recent/epoch): 6388.1/2856.5 | LR: 0.000050
[2026-05-11 19:44:46] INFO: Epoch 1 | Batch 3750/18273 | Loss(recent/epoch): 1539.6/2838.9 | LR: 0.000050
[2026-05-11 19:45:11] INFO: Epoch 1 | Batch 3800/18273 | Loss(recent/epoch): 1812.1/2825.4 | LR: 0.000050
[2026-05-11 19:45:36] INFO: Epoch 1 | Batch 3850/18273 | Loss(recent/epoch): 1844.4/2812.7 | LR: 0.000050
[2026-05-11 19:46:01] INFO: Epoch 1 | Batch 3900/18273 | Loss(recent/epoch): 7289.1/2870.0 | LR: 0.000050
[2026-05-11 19:46:27] INFO: Epoch 1 | Batch 3950/18273 | Loss(recent/epoch): 1658.9/2854.7 | LR: 0.000050
[2026-05-11 19:46:52] INFO: Epoch 1 | Batch 4000/18273 | Loss(recent/epoch): 6225.6/2896.9 | LR: 0.000050
[2026-05-11 19:47:17] INFO: Epoch 1 | Batch 4050/18273 | Loss(recent/epoch): 4489.0/2916.5 | LR: 0.000050
[2026-05-11 19:47:42] INFO: Epoch 1 | Batch 4100/18273 | Loss(recent/epoch): 1620.3/2900.7 | LR: 0.000050
[2026-05-11 19:48:07] INFO: Epoch 1 | Batch 4150/18273 | Loss(recent/epoch): 1530.8/2884.2 | LR: 0.000050
[2026-05-11 19:48:32] INFO: Epoch 1 | Batch 4200/18273 | Loss(recent/epoch): 1762.0/2870.8 | LR: 0.000050
[2026-05-11 19:48:57] INFO: Epoch 1 | Batch 4250/18273 | Loss(recent/epoch): 1560.7/2855.4 | LR: 0.000050
[2026-05-11 19:49:22] INFO: Epoch 1 | Batch 4300/18273 | Loss(recent/epoch): 1889.2/2844.2 | LR: 0.000050
[2026-05-11 19:49:47] INFO: Epoch 1 | Batch 4350/18273 | Loss(recent/epoch): 1455.6/2828.2 | LR: 0.000050
[2026-05-11 19:50:12] INFO: Epoch 1 | Batch 4400/18273 | Loss(recent/epoch): 1722.1/2815.7 | LR: 0.000050
[2026-05-11 19:50:37] INFO: Epoch 1 | Batch 4450/18273 | Loss(recent/epoch): 1478.6/2800.6 | LR: 0.000050
[2026-05-11 19:51:02] INFO: Epoch 1 | Batch 4500/18273 | Loss(recent/epoch): 1636.0/2787.7 | LR: 0.000050
[2026-05-11 19:51:27] INFO: Epoch 1 | Batch 4550/18273 | Loss(recent/epoch): 1887.3/2777.8 | LR: 0.000050
[2026-05-11 19:51:52] INFO: Epoch 1 | Batch 4600/18273 | Loss(recent/epoch): 9241.5/2848.1 | LR: 0.000050
[2026-05-11 19:52:17] INFO: Epoch 1 | Batch 4650/18273 | Loss(recent/epoch): 2287.1/2842.0 | LR: 0.000050
[2026-05-11 19:52:42] INFO: Epoch 1 | Batch 4700/18273 | Loss(recent/epoch): 3024.5/2844.0 | LR: 0.000050
[2026-05-11 19:53:07] INFO: Epoch 1 | Batch 4750/18273 | Loss(recent/epoch): 1485.2/2829.7 | LR: 0.000050
[2026-05-11 19:53:32] INFO: Epoch 1 | Batch 4800/18273 | Loss(recent/epoch): 1976.7/2820.8 | LR: 0.000050
[2026-05-11 19:53:57] INFO: Epoch 1 | Batch 4850/18273 | Loss(recent/epoch): 1776.4/2810.0 | LR: 0.000050
[2026-05-11 19:54:22] INFO: Epoch 1 | Batch 4900/18273 | Loss(recent/epoch): 4004.4/2822.2 | LR: 0.000050
[2026-05-11 19:54:47] INFO: Epoch 1 | Batch 4950/18273 | Loss(recent/epoch): 4754.2/2841.7 | LR: 0.000050
[2026-05-11 19:55:12] INFO: Epoch 1 | Batch 5000/18273 | Loss(recent/epoch): 2793.5/2841.2 | LR: 0.000050
[2026-05-11 19:55:37] INFO: Epoch 1 | Batch 5050/18273 | Loss(recent/epoch): 2756.8/2840.4 | LR: 0.000050
[2026-05-11 19:56:03] INFO: Epoch 1 | Batch 5100/18273 | Loss(recent/epoch): 1577.9/2828.0 | LR: 0.000050
[2026-05-11 19:56:28] INFO: Epoch 1 | Batch 5150/18273 | Loss(recent/epoch): 1513.6/2815.3 | LR: 0.000050
[2026-05-11 19:56:54] INFO: Epoch 1 | Batch 5200/18273 | Loss(recent/epoch): 1415.3/2801.8 | LR: 0.000050
[2026-05-11 19:57:19] INFO: Epoch 1 | Batch 5250/18273 | Loss(recent/epoch): 1842.4/2792.7 | LR: 0.000050
[2026-05-11 19:57:45] INFO: Epoch 1 | Batch 5300/18273 | Loss(recent/epoch): 2597.1/2790.8 | LR: 0.000050
[2026-05-11 19:58:09] INFO: Epoch 1 | Batch 5350/18273 | Loss(recent/epoch): 3720.7/2799.5 | LR: 0.000050
[2026-05-11 19:58:34] INFO: Epoch 1 | Batch 5400/18273 | Loss(recent/epoch): 1874.6/2790.9 | LR: 0.000050
[2026-05-11 19:58:59] INFO: Epoch 1 | Batch 5450/18273 | Loss(recent/epoch): 1848.2/2782.3 | LR: 0.000050
[2026-05-11 19:59:23] INFO: Epoch 1 | Batch 5500/18273 | Loss(recent/epoch): 1369.8/2769.5 | LR: 0.000050
[2026-05-11 19:59:49] INFO: Epoch 1 | Batch 5550/18273 | Loss(recent/epoch): 1824.2/2760.9 | LR: 0.000050
[2026-05-11 20:00:15] INFO: Epoch 1 | Batch 5600/18273 | Loss(recent/epoch): 1260.9/2747.5 | LR: 0.000050
[2026-05-11 20:00:39] INFO: Epoch 1 | Batch 5650/18273 | Loss(recent/epoch): 6389.8/2779.8 | LR: 0.000050
[2026-05-11 20:01:05] INFO: Epoch 1 | Batch 5700/18273 | Loss(recent/epoch): 2478.0/2777.1 | LR: 0.000050
[2026-05-11 20:01:31] INFO: Epoch 1 | Batch 5750/18273 | Loss(recent/epoch): 1446.0/2765.6 | LR: 0.000050
[2026-05-11 20:01:55] INFO: Epoch 1 | Batch 5800/18273 | Loss(recent/epoch): 2018.3/2759.1 | LR: 0.000050
[2026-05-11 20:02:20] INFO: Epoch 1 | Batch 5850/18273 | Loss(recent/epoch): 6452.3/2790.7 | LR: 0.000050
[2026-05-11 20:02:45] INFO: Epoch 1 | Batch 5900/18273 | Loss(recent/epoch): 1806.0/2782.3 | LR: 0.000050
[2026-05-11 20:03:10] INFO: Epoch 1 | Batch 5950/18273 | Loss(recent/epoch): 1813.1/2774.2 | LR: 0.000050
[2026-05-11 20:03:35] INFO: Epoch 1 | Batch 6000/18273 | Loss(recent/epoch): 6310.1/2803.7 | LR: 0.000050
[2026-05-11 20:04:00] INFO: Epoch 1 | Batch 6050/18273 | Loss(recent/epoch): 1580.0/2793.5 | LR: 0.000050
[2026-05-11 20:04:25] INFO: Epoch 1 | Batch 6100/18273 | Loss(recent/epoch): 1695.9/2784.5 | LR: 0.000050
[2026-05-11 20:04:51] INFO: Epoch 1 | Batch 6150/18273 | Loss(recent/epoch): 1272.8/2772.3 | LR: 0.000050
[2026-05-11 20:05:15] INFO: Epoch 1 | Batch 6200/18273 | Loss(recent/epoch): 1713.3/2763.7 | LR: 0.000050
[2026-05-11 20:05:40] INFO: Epoch 1 | Batch 6250/18273 | Loss(recent/epoch): 1880.9/2756.7 | LR: 0.000050
[2026-05-11 20:06:05] INFO: Epoch 1 | Batch 6300/18273 | Loss(recent/epoch): 1336.3/2745.4 | LR: 0.000050
[2026-05-11 20:06:31] INFO: Epoch 1 | Batch 6350/18273 | Loss(recent/epoch): 1458.0/2735.2 | LR: 0.000050
[2026-05-11 20:06:56] INFO: Epoch 1 | Batch 6400/18273 | Loss(recent/epoch): 1552.1/2726.0 | LR: 0.000050
[2026-05-11 20:07:21] INFO: Epoch 1 | Batch 6450/18273 | Loss(recent/epoch): 1613.0/2717.4 | LR: 0.000050
[2026-05-11 20:07:45] INFO: Epoch 1 | Batch 6500/18273 | Loss(recent/epoch): 1095.6/2704.9 | LR: 0.000050
[2026-05-11 20:08:10] INFO: Epoch 1 | Batch 6550/18273 | Loss(recent/epoch): 6896.2/2736.9 | LR: 0.000050
[2026-05-11 20:08:35] INFO: Epoch 1 | Batch 6600/18273 | Loss(recent/epoch): 7195.5/2770.7 | LR: 0.000050
[2026-05-11 20:09:00] INFO: Epoch 1 | Batch 6650/18273 | Loss(recent/epoch): 7517.0/2806.4 | LR: 0.000050
[2026-05-11 20:09:25] INFO: Epoch 1 | Batch 6700/18273 | Loss(recent/epoch): 1260.3/2794.8 | LR: 0.000050
[2026-05-11 20:09:50] INFO: Epoch 1 | Batch 6750/18273 | Loss(recent/epoch): 1372.8/2784.3 | LR: 0.000050
[2026-05-11 20:10:15] INFO: Epoch 1 | Batch 6800/18273 | Loss(recent/epoch): 1265.2/2773.1 | LR: 0.000050
[2026-05-11 20:10:40] INFO: Epoch 1 | Batch 6850/18273 | Loss(recent/epoch): 1356.5/2762.8 | LR: 0.000050
[2026-05-11 20:11:05] INFO: Epoch 1 | Batch 6900/18273 | Loss(recent/epoch): 1877.5/2756.4 | LR: 0.000050
[2026-05-11 20:11:31] INFO: Epoch 1 | Batch 6950/18273 | Loss(recent/epoch): 1555.4/2747.7 | LR: 0.000050
[2026-05-11 20:11:56] INFO: Epoch 1 | Batch 7000/18273 | Loss(recent/epoch): 1580.4/2739.4 | LR: 0.000050
